run,token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction,primary_component_representatives
pca20-plain-k10-reg1e-05-seed42,怪物,1,955,0.21660372429328212,6,0.008541056722605356,0.010785015900696486,0.5000834048387556,4,0.49981074717774443,0.0002726576610111442,0.301476110874558,7-9,guàiwu,monster; freak; eccentric person,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,0.5,面条儿 | 杯子 | 罐头 | 肉 | 袜子 | 米饭 | 饼干 | 牛奶 | 肥皂 | 钳子 | 梳子 | 脸盆
pca20-plain-k10-reg1e-05-seed42,挑战,0,1421,0.19310201436185565,2,0.00958051712785346,0.011733949020577117,0.47676303289201516,4,0.47613096748424855,0.0006320654077666132,0.3763753923583163,4,tiǎozhàn,to challenge; challenge,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,0.75,推动 | 强化 | 推进 | 优化 | 深化 | 促进 | 确立 | 构建 | 提升 | 加强 | 拓展 | 规范
pca20-plain-k10-reg1e-05-seed42,吉祥,7,948,0.17938039017270715,5,0.008314886246903574,0.010030812188758668,0.4887286000695468,3,0.48771903001694106,0.0010095700526057683,0.3495396778309991,6,jíxiáng,lucky; auspicious; propitious,Translation,拧 | 拽 | 搓 | 蹦 | 磕 | 溜 | 捏 | 叼 | 咬 | 吐 | 踹 | 抖,1.0,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬
pca20-plain-k10-reg1e-05-seed42,破灭,4,1030,0.192455914527815,2,-0.009114948637697184,-0.01128724586270429,0.46694603857397565,2,0.46577957990616337,0.0011664586678122868,0.3998086060056591,7-9,pòmiè,"to be shattered; to be annihilated (of hope, illusions etc)",Translation,害臊 | 心疼 | 羞愧 | 贪玩儿 | 怜惜 | 生气 | 厌烦 | 胆怯 | 惭愧 | 好笑 | 嫉妒 | 闹着玩儿,0.25,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀
pca20-plain-k10-reg1e-05-seed42,搬家,5,1031,0.20270956156792758,4,0.012807020923057744,0.015809234771891077,0.49927329338752974,4,0.4980871954111089,0.0011860979764208301,0.30953810388148956,3,bānjiā,to move house; to relocate; to remove (sth),Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,0.75,院子 | 窗子 | 马路 | 过道 | 房间 | 海边 | 屋子 | 路边 | 人行道 | 楼道 | 饭馆 | 山顶
pca20-plain-k10-reg1e-05-seed42,大型,0,1421,0.16385870077998224,7,-0.0030069978667215946,-0.0035962795636654762,0.34421523449852004,9,0.34301558481823474,0.0011996496802852974,0.5597533420083834,4,dàxíng,large; large-scale,Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,0.25,推动 | 强化 | 推进 | 优化 | 深化 | 促进 | 确立 | 构建 | 提升 | 加强 | 拓展 | 规范
pca20-plain-k10-reg1e-05-seed42,待遇,6,956,0.17808392386693578,9,-0.012131583455294026,-0.014760124309005397,0.37466165400381374,4,0.37339518674516725,0.0012664672586464865,0.4732670636435243,4,dàiyù,treatment; pay; salary; status; rank,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,0.75,孩子 | 妹妹 | 哥哥 | 爸爸 | 母亲 | 姐姐 | 妈妈 | 人缘儿 | 同学 | 父亲 | 学生 | 老师
pca20-plain-k10-reg1e-05-seed42,小康,6,956,0.16005029693929948,2,0.010852288020838291,0.012755362745499507,0.3486065205422905,9,0.3466022326776759,0.0020042878646145956,0.6264948641799644,7-9,xiǎokāng,"Xiaokang, a Confucian near-ideal state of society, second only to Datong 同; moderately affluent; well-off; a period of peace and prosperity",Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,0.5,孩子 | 妹妹 | 哥哥 | 爸爸 | 母亲 | 姐姐 | 妈妈 | 人缘儿 | 同学 | 父亲 | 学生 | 老师
pca20-plain-k10-reg1e-05-seed42,深信,2,1879,0.21672435446341998,8,0.032318347057016084,0.039625533476826444,0.4990682106834512,0,0.49703144439296504,0.0020367662904861583,0.31126795626795206,7-9,shēnxìn,to believe firmly,Translation,推动 | 强化 | 推进 | 优化 | 深化 | 促进 | 确立 | 构建 | 提升 | 加强 | 拓展 | 规范,0.25,害臊 | 心疼 | 羞愧 | 贪玩儿 | 怜惜 | 生气 | 厌烦 | 胆怯 | 惭愧 | 好笑 | 嫉妒 | 闹着玩儿
pca20-plain-k10-reg1e-05-seed42,好家伙,8,971,0.2005132584370813,3,-0.012837409928910415,-0.016057064190726396,0.3725873275204639,6,0.3704769298932538,0.0021103976272101033,0.4898990033382587,7-9,hǎojiāhuo,my God!; oh boy!; man!,Translation,孩子 | 妹妹 | 哥哥 | 爸爸 | 母亲 | 姐姐 | 妈妈 | 人缘儿 | 同学 | 父亲 | 学生 | 老师,1.0,就算 | 也许 | 不然 | 要不然 | 要不 | 要是 | 好像 | 说不定 | 毕竟 | 也 | 难道 | 当然
pca20-plain-k10-reg1e-05-seed42,粉丝,9,925,0.1806678775776651,6,-0.02310745438502268,-0.02820279316854574,0.4218826041830537,1,0.4195522609894028,0.0023303431936508856,0.4765364278278106,7-9,fěnsī,bean vermicelli; mung bean starch noodles; Chinese vermicelli; cellophane noodles; fan (loanword); enthusiast for sb or sth,Translation,面条儿 | 杯子 | 罐头 | 肉 | 袜子 | 米饭 | 饼干 | 牛奶 | 肥皂 | 钳子 | 梳子 | 脸盆,0.25,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信
pca20-plain-k10-reg1e-05-seed42,一起,2,1879,0.2010188039172335,8,0.01340933281423079,0.01650601814922303,0.39330754707833165,8,0.39091795292906234,0.002389594149269314,0.49936281924868403,1,yīqǐ,in the same place; together; with; altogether (in total),Translation,就算 | 也许 | 不然 | 要不然 | 要不 | 要是 | 好像 | 说不定 | 毕竟 | 也 | 难道 | 当然,0.5,害臊 | 心疼 | 羞愧 | 贪玩儿 | 怜惜 | 生气 | 厌烦 | 胆怯 | 惭愧 | 好笑 | 嫉妒 | 闹着玩儿
pca20-plain-k10-reg1e-05-seed42,分,8,971,0.1529511811201051,3,-0.0065866569609912,-0.007776006310593998,0.425026015936959,5,0.4221339059025473,0.002892110034411699,0.45322426278112793,1; 2,fēn,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money); part; share; ingredient; component,Translation,院子 | 窗子 | 马路 | 过道 | 房间 | 海边 | 屋子 | 路边 | 人行道 | 楼道 | 饭馆 | 山顶,0.0,就算 | 也许 | 不然 | 要不然 | 要不 | 要是 | 好像 | 说不定 | 毕竟 | 也 | 难道 | 当然
pca20-plain-k10-reg1e-05-seed42,废品,5,1031,0.18550852954513267,1,-0.02503950850301287,-0.030742505491222736,0.35190221987616654,4,0.34839184709989945,0.00351037277626709,0.4889207898489032,7-9,fèipǐn,production rejects; seconds; scrap; discarded material,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,0.0,院子 | 窗子 | 马路 | 过道 | 房间 | 海边 | 屋子 | 路边 | 人行道 | 楼道 | 饭馆 | 山顶
pca20-plain-k10-reg1e-05-seed42,干戈,2,1879,0.193068012044671,3,0.011267029678693058,0.013770524573928045,0.49369769596608304,6,0.48998088898100234,0.0037168069850807006,0.3351333803128086,7-9,gāngē,weapons of war; arms,Translation,孩子 | 妹妹 | 哥哥 | 爸爸 | 母亲 | 姐姐 | 妈妈 | 人缘儿 | 同学 | 父亲 | 学生 | 老师,0.0,害臊 | 心疼 | 羞愧 | 贪玩儿 | 怜惜 | 生气 | 厌烦 | 胆怯 | 惭愧 | 好笑 | 嫉妒 | 闹着玩儿
